"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Pohjois-Pohjanmaa","Ii","4245","3989","2866","2940","2961","2868","2750","2910","4707","4874","5309","4988","4796","4073","4077","."
"Pohjois-Pohjanmaa","Liminka","2156","2677","3544","3382","3655","3388","3259","3325","3536","3812","3800","4165","5214","6612","4723","."
"Pohjois-Pohjanmaa","Merijärvi","1234","1131","1579","1448","1432","1248","1299","1314","1523","1234","1290","1162","1359","1430","1226","."
"Pohjois-Pohjanmaa","Kempele","4302","4944","4227","4855","5117","5287","4622","4799","4675","5363","5049","5036","5388","4589","5438","."
"Pohjois-Pohjanmaa","Oulu","43010","41349","53773","49758","52517","49629","50887","57695","60345","63152","57545","58976","57201","66878","61696","."
"Pohjois-Pohjanmaa","Ylivieska","5469","6302","4699","5242","4979","5062","4937","4473","6182","6028","5936","5564","5557","5913","5788","."
"Pohjois-Pohjanmaa","Nivala","2946","3362","4431","4775","4525","4112","4306","4071","4795","5072","5204","5097","5543","4781","4266","."
"Pohjois-Pohjanmaa","Sievi","3661","4520","2282","2214","2604","2164","1808","1870","2477","2989","2652","2782","2775","2207","1894","."
"Pohjois-Pohjanmaa","Siikajoki","676","567","617","606","662","778","824","814","2790","3744","3638","3660","3608","3396","3369","."
"Pohjois-Pohjanmaa","Haapavesi","8266","3032","2604","3298","3216","2708","3213","3803","4291","4614","5462","4662","4749","3860","3709","."
"Pohjois-Pohjanmaa","Taivalkoski","2671","2305","2243","2954","2673","2238","2895","2580","2633","2565","2699","3064","2927","2581","2880","."
"Pohjois-Pohjanmaa","Utajärvi","2278","2263","1855","1785","1709","1630","1341","1242","1394","1246","1259","1562","1642","1620","1480","."
"Pohjois-Pohjanmaa","Oulainen","6648","6856","5430","6479","4220","5296","4867","4463","3601","3472","4036","3983","4405","3754","3428","."
"Pohjois-Pohjanmaa","Kuusamo","5844","6251","5842","6407","5166","7097","5801","5212","5736","5731","6278","6337","6259","6014","5106","."
"Pohjois-Pohjanmaa","Pyhäjoki","2415","2511","2779","2221","2744","2364","2513","2336","1945","2501","2177","2315","2132","2165","2078","."
"Pohjois-Pohjanmaa","Haapajärvi+Pyhäjärvi","3632","3869","3518","3717","3660","3764","4359","4504","7550","7306","6316","6396","6028","5724","5615","."
"Pohjois-Pohjanmaa","Tyrnävä","2059","2370","4778","2945","3474","3147","3296","3273","3601","3891","3932","4039","3817","3575","3727","."
"Pohjois-Pohjanmaa","Kalajoki","4472","4254","3498","3591","3354","4472","3962","3883","3755","5536","4767","5903","6753","6654","6356","."
"Pohjois-Pohjanmaa","Lumijoki","668","867","1149","1248","1187","1258","1551","1446","1490","1787","1550","1558","1444","1486","1525","."
"Pohjois-Pohjanmaa","Reisjärvi","2289","1969","1838","1920","1810","2077","2038","1789","2049","2203","1654","1761","1633","1577","1490","."
"Pohjois-Pohjanmaa","Kärsämäki","1323","1211","1364","1608","1520","1606","1693","1597","1656","2033","1691","1744","1871","1614","1665","."
"Pohjois-Pohjanmaa","Raahe","4669","5167","5092","4880","7428","9163","9493","10191","8992","9156","7197","7354","8279","7341","8201","."
"Pohjois-Pohjanmaa","Pudasjärvi","3662","4035","3762","3400","3834","4049","4116","4194","3720","4286","3627","2992","3228","2874","3010","."
"Pohjois-Pohjanmaa","Siikalatva","0","0","0","0","0","0","0","0","0","0","6060","5437","4959","4593","4042","."
"Pohjois-Pohjanmaa","Hailuoto","722","801","953","923","706","751","758","777","684","758","558","1029","668","513","702","."
"Pohjois-Savo","Iisalmi","5614","7663","8110","7102","7661","8013","7789","8023","7655","8559","8909","9922","9799","8753","8405","."
"Pohjois-Savo","Siilinjärvi","7515","7793","7696","8388","7574","7351","7450","7836","7491","7999","8949","9097","9399","8587","8005","."
"Pohjois-Savo","Kiuruvesi","3934","3936","2971","3086","3071","3664","3441","4649","4745","5099","5426","5269","5168","4832","5457","."
"Pohjois-Savo","Keitele","2602","2054","1900","1631","1487","1802","1758","1917","1990","1808","1872","2125","2107","2052","2072","."
"Pohjois-Savo","Leppävirta","4575","4745","4204","4122","4420","4253","4177","4414","3660","4145","4198","4572","4595","4248","4792","."
"Pohjois-Savo","Kuopio+Juank.+Kaavi+Tuus.","35166","28348","33434","33418","31204","28162","33455","31168","32762","36212","39183","36513","33158","31288","43158","."
"Pohjois-Savo","Pielavesi","2321","1945","2509","2696","2587","2817","2588","3220","3297","3181","3235","3323","3004","2707","2805","."
"Pohjois-Savo","Varkaus","5811","5916","6398","7325","10279","12001","10378","7541","5456","7025","7281","6485","6970","5648","5850","."
